               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.036321,            0.054011,          0.00034158,             0.92742,             0.90671,             0.94528,             0.61542,            0.036616,            0.054871,           0.0014794,           0.0052975,           0.0052975,           0.0052975
                  97,            0.036283,            0.054033,          0.00034153,             0.94163,             0.89758,             0.94547,             0.61617,            0.036556,             0.05488,           0.0014704,            0.005248,            0.005248,            0.005248
                  98,            0.036274,            0.053817,          0.00027614,             0.94462,             0.89434,             0.94553,              0.6151,            0.036486,            0.054799,           0.0015277,           0.0051985,           0.0051985,           0.0051985
                  99,            0.036179,             0.05411,          0.00032795,             0.94035,                 0.9,             0.94474,             0.61329,            0.036554,            0.054953,           0.0015811,            0.005149,            0.005149,            0.005149
                 100,            0.036419,            0.055046,          0.00032734,             0.94105,             0.89984,             0.94467,             0.61436,            0.036504,            0.054908,           0.0016422,           0.0050995,           0.0050995,           0.0050995
                 101,            0.036232,            0.054842,          0.00032275,             0.94213,             0.89678,             0.94528,             0.61472,            0.036556,             0.05495,           0.0016387,             0.00505,             0.00505,             0.00505
                 102,             0.03623,            0.054626,          0.00033693,             0.93759,             0.90244,              0.9458,             0.61441,            0.036592,            0.055022,           0.0015628,           0.0050005,           0.0050005,           0.0050005
                 103,            0.036095,            0.054014,           0.0003465,             0.94134,             0.90096,             0.94547,              0.6149,            0.036561,             0.05501,           0.0015237,            0.004951,            0.004951,            0.004951
                 104,            0.035962,            0.054233,          0.00030482,             0.93636,             0.90064,              0.9457,              0.6156,            0.036551,            0.054945,           0.0015539,           0.0049015,           0.0049015,           0.0049015
                 105,            0.035951,            0.053221,          0.00030817,             0.93717,             0.89868,             0.94408,             0.61542,            0.036554,            0.054951,           0.0016299,            0.004852,            0.004852,            0.004852
                 106,              0.0359,            0.053585,          0.00028707,             0.94276,             0.89415,             0.94415,             0.61453,            0.036584,            0.055019,           0.0015311,           0.0048025,           0.0048025,           0.0048025
                 107,            0.035807,            0.053556,          0.00030967,             0.93741,             0.90141,             0.94544,             0.61605,            0.036545,            0.054956,            0.001484,            0.004753,            0.004753,            0.004753
                 108,            0.035963,            0.054186,          0.00029991,             0.93369,             0.90404,             0.94434,             0.61657,            0.036593,            0.055014,           0.0014678,           0.0047035,           0.0047035,           0.0047035
                 109,            0.035746,            0.053072,          0.00030767,             0.93405,             0.90538,             0.94654,             0.61692,            0.036597,            0.054863,           0.0014498,            0.004654,            0.004654,            0.004654
                 110,            0.036051,            0.054315,          0.00029043,             0.93273,               0.905,             0.94499,             0.61686,            0.036577,            0.054817,            0.001505,           0.0046045,           0.0046045,           0.0046045
                 111,            0.035891,            0.053968,          0.00030726,             0.93768,             0.90433,             0.94374,             0.61541,             0.03658,            0.054872,            0.001481,            0.004555,            0.004555,            0.004555
