               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.021391,           0.0081781,          0.00099484,             0.90718,             0.63621,             0.69794,             0.51808,            0.024137,           0.0099559,           0.0054152,            0.005743,            0.005743,            0.005743
                  88,               0.022,           0.0076373,          0.00086355,             0.85641,             0.66103,             0.69613,             0.52282,            0.024135,           0.0096656,             0.00542,           0.0056935,           0.0056935,           0.0056935
                  89,             0.02245,           0.0079604,          0.00094911,             0.88455,             0.65201,             0.69561,             0.52147,            0.023976,           0.0094113,           0.0051658,            0.005644,            0.005644,            0.005644
                  90,            0.021415,           0.0074353,           0.0010145,             0.84798,             0.68088,             0.71123,             0.52446,            0.024145,           0.0093127,           0.0053856,           0.0055945,           0.0055945,           0.0055945
                  91,            0.022317,           0.0076677,          0.00093916,             0.90938,             0.64398,             0.70734,             0.52703,            0.024289,           0.0094294,            0.005321,            0.005545,            0.005545,            0.005545
                  92,            0.021791,           0.0076719,           0.0011078,             0.85419,             0.66376,             0.70693,             0.52428,            0.024355,           0.0093806,           0.0049536,           0.0054955,           0.0054955,           0.0054955
                  93,            0.022044,           0.0077723,          0.00089678,             0.84958,             0.66719,             0.70229,             0.51992,            0.024545,           0.0094727,           0.0046812,            0.005446,            0.005446,            0.005446
                  94,            0.021039,           0.0073782,          0.00090185,             0.86014,             0.67315,             0.71275,             0.52752,            0.024267,           0.0094315,           0.0045728,           0.0053965,           0.0053965,           0.0053965
                  95,             0.02196,           0.0073511,          0.00089288,             0.89843,              0.6641,             0.71432,             0.53236,            0.024601,           0.0095208,           0.0051756,            0.005347,            0.005347,            0.005347
                  96,            0.021321,           0.0072732,          0.00081488,             0.88002,             0.66538,             0.71249,             0.52836,            0.024723,           0.0098307,           0.0052975,           0.0052975,           0.0052975,           0.0052975
                  97,            0.022362,           0.0077766,          0.00095083,             0.90342,             0.63981,             0.69171,             0.51292,            0.024454,           0.0096744,           0.0050055,            0.005248,            0.005248,            0.005248
                  98,            0.022075,           0.0075609,          0.00079015,             0.87592,             0.66882,             0.71533,                0.53,            0.024412,           0.0096203,           0.0054435,           0.0051985,           0.0051985,           0.0051985
                  99,            0.021469,           0.0075505,          0.00085863,             0.88064,             0.65591,             0.71178,             0.52438,            0.024438,           0.0097616,           0.0051309,            0.005149,            0.005149,            0.005149
